iter	Logloss
0	0.6885474765
1	0.6847014766
2	0.681430201
3	0.6779434532
4	0.6743920016
5	0.6713644022
6	0.6681850479
7	0.6653481148
8	0.6624083446
9	0.660232811
10	0.6579540991
11	0.6552473676
12	0.6528876541
13	0.6506673363
14	0.6483248056
15	0.6461535779
16	0.6444775436
17	0.6425032436
18	0.6410869697
19	0.6394491491
20	0.6380953406
21	0.6365787441
22	0.6351375228
23	0.6338379761
24	0.6327142644
25	0.6315513318
26	0.6304171026
27	0.6294156586
28	0.6282090411
29	0.6270943869
30	0.6261386435
31	0.6251052197
32	0.6242663293
33	0.6232858816
34	0.6225760698
35	0.6218019364
36	0.6209274031
37	0.6200480746
38	0.6192255661
39	0.6185240334
40	0.6176473122
41	0.6170785003
42	0.6164306034
43	0.6158195442
44	0.6150582181
45	0.6144460024
46	0.6138356459
47	0.6132949174
48	0.6126546081
49	0.6122222594
50	0.611600689
51	0.6110878597
52	0.6104959651
53	0.6100257866
54	0.6096453232
55	0.6092632376
56	0.6088666475
57	0.6084187444
58	0.6079686072
59	0.6075865976
60	0.6072202062
61	0.6068545625
62	0.6064134953
63	0.6060317607
64	0.6057152961
65	0.6053125842
66	0.6049259015
67	0.6045486756
68	0.6041406707
69	0.6038064228
70	0.6035094613
71	0.6031956403
72	0.6028800044
73	0.6025614066
74	0.6022778839
75	0.6019492805
76	0.6016238126
77	0.6013476115
78	0.6011304325
79	0.6009719192
80	0.6006853197
81	0.6004174624
82	0.6001409922
83	0.5998568625
84	0.5996488496
85	0.599488695
86	0.5991864225
87	0.599016084
88	0.5987326552
89	0.5984682055
90	0.5982512013
91	0.5980859079
92	0.5979153839
93	0.5976822648
94	0.5974948573
95	0.597246293
96	0.5970343618
97	0.5968277586
98	0.5966342205
99	0.5963969696
100	0.5962236183
101	0.5959915972
102	0.5957706036
103	0.5956058611
104	0.5953999803
105	0.5952478661
106	0.5950982988
107	0.594949963
108	0.5947674911
109	0.5946248327
110	0.5944897832
111	0.5943277428
112	0.5941401055
113	0.5939783912
114	0.5937983323
115	0.593668078
116	0.5934730614
117	0.5933332985
118	0.5931650638
119	0.5930586997
120	0.5929350209
121	0.5928256343
122	0.5926428949
123	0.5925015075
124	0.5924159161
125	0.5922499237
126	0.592121942
127	0.5919673476
128	0.5918479643
129	0.591693022
130	0.5915468237
131	0.5914441623
132	0.5913152806
133	0.5911925853
134	0.5910961123
135	0.5910086296
136	0.5908314408
137	0.5907168765
138	0.5905979613
139	0.5904651308
140	0.5903815041
141	0.5903177096
142	0.5902604222
143	0.5901963389
144	0.5901031166
145	0.5900582531
146	0.5899588765
147	0.5898668638
148	0.589783
149	0.5897230166
150	0.5896474679
151	0.5895621381
152	0.5894042806
153	0.5893301933
154	0.5892290929
155	0.5891749359
156	0.5890814578
157	0.5889933879
158	0.5888971987
159	0.5888029047
160	0.5887146699
161	0.5886405844
162	0.5885139028
163	0.5883833815
164	0.5883136906
165	0.5882346661
166	0.5881005392
167	0.5880858578
168	0.5880072283
169	0.587951771
170	0.5878747554
171	0.5877918517
172	0.5877042175
173	0.5876690344
174	0.5875794898
175	0.5875020273
176	0.5874261515
177	0.5873552457
178	0.5872734616
179	0.5871946987
180	0.5871219617
181	0.587054518
182	0.5869774028
183	0.5869233948
184	0.5868920392
185	0.5868405724
186	0.5867701996
187	0.586685347
188	0.5866432217
189	0.5865900096
190	0.5865479147
191	0.5865313207
192	0.5864585303
193	0.5863745217
194	0.5863135136
195	0.5862721976
196	0.5861972614
197	0.5861497604
198	0.5861078613
199	0.586034258
200	0.5859792557
201	0.5859335664
202	0.585879211
203	0.5858194239
204	0.5857819701
205	0.5857220045
206	0.5856978358
207	0.5856316084
208	0.5855551989
209	0.5855149378
210	0.5854474457
211	0.5854160088
212	0.5853860324
213	0.5853220578
214	0.5852735865
215	0.5852483172
216	0.5851779084
217	0.5851482932
218	0.5850854239
219	0.585015362
220	0.5849694337
221	0.5849000413
222	0.5848650207
223	0.5848250981
224	0.5847514031
225	0.5846855965
226	0.5846129473
227	0.5845657409
228	0.584543887
229	0.5844954672
230	0.5844231482
231	0.5843943038
232	0.5843330921
233	0.5843077598
234	0.5842597996
235	0.5842405976
236	0.5842052631
237	0.5841439788
238	0.5840768432
239	0.5840139306
240	0.5839646066
241	0.5838972968
242	0.5838636284
243	0.5838145572
244	0.5837737802
245	0.5837347865
246	0.5836733528
247	0.5836465968
248	0.5836070827
249	0.5835815022
250	0.5835202772
251	0.5834834192
252	0.5834396732
253	0.5833958506
254	0.5833588745
255	0.5833233532
256	0.5832749184
257	0.5832439752
258	0.5832181716
259	0.5831715903
260	0.5831384886
261	0.5831170785
262	0.5830692039
263	0.5830277131
264	0.5829859635
265	0.5829489783
266	0.5829019369
267	0.5828647541
268	0.5828376277
269	0.5827946101
270	0.5827471493
271	0.5827110727
272	0.5826784652
273	0.5826350575
274	0.5825926338
275	0.5825502396
276	0.5825122143
277	0.5824729795
278	0.5824409286
279	0.5824074247
280	0.5823731916
281	0.5823519173
282	0.5823153112
283	0.5822574143
284	0.582233079
285	0.582198662
286	0.5821574695
287	0.5821435223
288	0.5820852804
289	0.5820721519
290	0.5820508055
291	0.5820238882
292	0.5819841555
293	0.5819440412
294	0.5819270515
295	0.5818861446
296	0.5818635831
297	0.5818295764
298	0.5817878065
299	0.5817537028
300	0.5817505903
301	0.581718904
302	0.5816710598
303	0.581640576
304	0.5816167476
305	0.5815792368
306	0.5815567442
307	0.5815304796
308	0.5815046422
309	0.5814927678
310	0.5814618332
311	0.5814403121
312	0.5813735044
313	0.5813422566
314	0.5813176979
315	0.5812711549
316	0.5812337162
317	0.5812088488
318	0.5811704625
319	0.581125079
320	0.5811067946
321	0.5810585285
322	0.5810173015
323	0.580984199
324	0.5809576768
325	0.5809473819
326	0.5808978206
327	0.5808657034
328	0.5808417503
329	0.5808102976
330	0.5807838636
331	0.5807636777
332	0.5807373827
333	0.58070848
334	0.5806656737
335	0.5806395652
336	0.5806240042
337	0.5805960392
338	0.5805660951
339	0.5805595825
340	0.5805465786
341	0.580524624
342	0.5804485167
343	0.5804134742
344	0.5803796031
345	0.5803437244
346	0.5803208981
347	0.5802952354
348	0.5802598199
349	0.5802266505
350	0.5802067224
351	0.5801731075
352	0.5801382935
353	0.5801154721
354	0.5800995223
355	0.5800754178
356	0.5800468959
357	0.5800281006
358	0.5800033672
359	0.5799680993
360	0.579948962
361	0.5799225067
362	0.5798992517
363	0.5798650162
364	0.5798396677
365	0.5798173319
366	0.579766099
367	0.5797356941
368	0.5797115344
369	0.5796784514
370	0.5796533423
371	0.5796316977
372	0.5795974419
373	0.5795562316
374	0.5795321404
375	0.5794942664
376	0.5794638925
377	0.5794277606
378	0.5793964151
379	0.5793626544
380	0.5793396402
381	0.5793145695
382	0.579286971
383	0.5792618633
384	0.5791988473
385	0.5791823761
386	0.5791043003
387	0.5790747972
388	0.5790431301
389	0.57901557
390	0.5789883742
391	0.5789607092
392	0.5789324194
393	0.5788720884
394	0.5788355099
395	0.5787911936
396	0.578765651
397	0.5787055331
398	0.5786872994
399	0.5786095794
400	0.5785726909
401	0.5785235189
402	0.5784173797
403	0.5783722542
404	0.578329876
405	0.578300987
406	0.5782594474
407	0.5782372803
408	0.5782066958
409	0.5781795858
410	0.5781564191
411	0.5781227298
412	0.5780926592
413	0.5780768091
414	0.5780407047
415	0.5779949249
416	0.5779234085
417	0.5778319722
418	0.577805226
419	0.5777791358
420	0.5777168141
421	0.5776609011
422	0.5776377103
423	0.5775861555
424	0.5774501521
425	0.5773972939
426	0.5773765576
427	0.5773452113
428	0.5772967316
429	0.5772308813
430	0.5771781343
431	0.5771520524
432	0.5771259949
433	0.5770702681
434	0.5770120065
435	0.576987247
436	0.5769582399
437	0.5769306387
438	0.5769048297
439	0.5768593835
440	0.5768093158
441	0.5767789588
442	0.5767496267
443	0.576670083
444	0.5766373809
445	0.5765785852
446	0.5765483254
447	0.5764921801
448	0.5764610918
449	0.5763983028
450	0.5763564066
451	0.5763209879
452	0.5762869527
453	0.5762493443
454	0.5762069092
455	0.5761295402
456	0.5761015229
457	0.5760390408
458	0.5760029649
459	0.5759590535
460	0.5759286979
461	0.5759037366
462	0.5758692233
463	0.5758013431
464	0.5757757158
465	0.5757017928
466	0.5756513761
467	0.5755970688
468	0.5755007875
469	0.575469118
470	0.5754366959
471	0.5754128553
472	0.5753902699
473	0.5753405331
474	0.5752941478
475	0.5752448971
476	0.5752143876
477	0.5751899424
478	0.5751633989
479	0.5751407158
480	0.5750381855
481	0.5749843692
482	0.5749532764
483	0.5749272761
484	0.5748703007
485	0.5748465805
486	0.5748149568
487	0.5747154557
488	0.5746564119
489	0.5746287254
490	0.5745991008
491	0.5745479285
492	0.5744944305
493	0.5744564298
494	0.5743904131
495	0.5743605887
496	0.5743117141
497	0.5742777391
498	0.5742478375
499	0.5742211294
500	0.5741706667
501	0.5741428127
502	0.5741051092
503	0.5740627109
504	0.5740332413
505	0.5739802456
506	0.5739491876
507	0.5739228616
508	0.5738830469
509	0.5738189486
510	0.5737918197
511	0.5737584153
512	0.5737278191
513	0.5737027927
514	0.5736749527
515	0.5735541922
516	0.5735046092
517	0.5734754352
518	0.5734484516
519	0.573374511
520	0.5733494928
521	0.5733179783
522	0.5732809657
523	0.5732379594
524	0.5732007509
525	0.5731451099
526	0.5731029623
527	0.5730388422
528	0.5730130885
529	0.5729710901
530	0.5729183339
531	0.5728956013
532	0.5728712685
533	0.5728429172
534	0.5727784783
535	0.5727553033
536	0.5727280054
537	0.5726952124
538	0.5726691636
539	0.5726225393
540	0.5725896026
541	0.5725651113
542	0.5725387417
543	0.5724656318
544	0.5724473233
545	0.5724166612
546	0.5723621658
547	0.5723356392
548	0.5722986169
549	0.5722725503
550	0.5722518218
551	0.5721881334
552	0.5721582434
553	0.5721320653
554	0.5721028336
555	0.5720584303
556	0.5720336345
557	0.5719875549
558	0.5719614525
559	0.5719109225
560	0.5718832408
561	0.5718614605
562	0.5718230756
563	0.5718086877
564	0.5717737461
565	0.5717537317
566	0.5717093374
567	0.5716808876
568	0.5716499385
569	0.5716224152
570	0.5715784694
571	0.5715254574
572	0.5714926942
573	0.5714711314
574	0.5714433573
575	0.5714195552
576	0.5713716377
577	0.5713018613
578	0.5712618126
579	0.5712025379
580	0.5711735599
581	0.5711499293
582	0.5711270301
583	0.5710635322
584	0.5710076183
585	0.5709547119
586	0.5709289339
587	0.570850981
588	0.5708041394
589	0.5707585203
590	0.5707011189
591	0.5706672038
592	0.5706427315
593	0.5706162722
594	0.570571344
595	0.5705525746
596	0.5705320144
597	0.5705050963
598	0.5704845582
599	0.5704524901
600	0.5704315149
601	0.570398848
602	0.5703741067
603	0.5703432869
604	0.5703171466
605	0.5702863781
606	0.5702269117
607	0.570200754
608	0.5701612635
609	0.5701332479
610	0.5701099962
611	0.5700831852
